bez_nr,name,einwohner,flaeche_ha,einwohnerdichte,parks_pro_1000_einw,parks_area_anteil_prozent,sports_pro_1000_einw,sports_area_anteil_prozent,stops_pro_1000_einw,radweg_km_pro_km2,index_gruen,index_sport,index_mobil,active_city_index,aci_equal,aci_green_focus,aci_sport_focus,aci_mob_focus,rank_equal,rank_green_focus,rank_sport_focus,rank_mob_focus,delta_rank_green_focus_vs_equal,delta_rank_sport_focus_vs_equal,delta_rank_mob_focus_vs_equal
1,Altstadt-Lehel,20876,31459.000000,66,1.293351,1.312072,0.910136,0.012219,8.478636,0.079506,1.000000,0.147792,0.710697,0.619496,0.619496,0.714622,0.501570,0.642297,2,1,6,2,-1,4,0
2,Ludwigsvorstadt-Isarvorstadt,50081,44017.000000,114,0.419321,0.359559,0.738803,0.002735,6.629261,0.076943,0.207679,0.038342,0.564287,0.270103,0.270103,0.254497,0.212162,0.343649,18,19,20,13,1,2,-5
3,Maxvorstadt,52434,42982.000000,122,0.667506,0.986850,0.858222,0.002517,3.642675,0.065135,0.569504,0.062453,0.299494,0.310484,0.310484,0.375239,0.248476,0.307736,13,10,19,14,-3,6,1
4,Schwabing-West,68610,43633.000000,157,0.335228,0.406743,0.816208,0.015624,2.565224,0.086087,0.184688,0.153538,0.297181,0.211803,0.211803,0.205024,0.197237,0.233147,22,20,22,22,-2,0,0
5,Au-Haidhausen,63972,42200.000000,152,0.562746,0.195851,1.031701,0.025663,3.923592,0.072198,0.214970,0.276763,0.346406,0.279380,0.279380,0.263277,0.278726,0.296136,17,18,17,16,1,0,-1
6,Sendling,41002,39389.000000,104,0.463392,0.406459,1.438954,0.061332,2.853519,0.104471,0.247197,0.637222,0.386494,0.423638,0.423638,0.379528,0.477034,0.414352,7,9,7,8,2,0,1
7,Sendling-Westpark,62240,78149.000000,80,0.562339,0.182352,1.622751,0.055207,2.281491,0.103140,0.209595,0.630089,0.339219,0.392968,0.392968,0.347124,0.452248,0.379530,10,11,9,11,1,-1,1
8,Schwanthalerhöhe,28684,20703.000000,139,0.348626,0.064524,0.976154,0.007111,3.207363,0.109392,0.059993,0.123009,0.430892,0.204631,0.204631,0.168472,0.184226,0.261196,23,23,23,20,0,0,-3
9,Neuhausen-Nymphenburg,101901,129149.000000,79,0.745822,0.335549,1.364069,0.024397,2.669257,0.058583,0.357991,0.338824,0.203192,0.300002,0.300002,0.314500,0.309708,0.275800,14,14,13,18,0,-1,4
10,Moosach,56015,110937.000000,50,0.803356,0.070176,2.285102,0.024902,5.266446,0.064761,0.284329,0.541466,0.418340,0.414712,0.414712,0.382116,0.446400,0.415619,9,8,10,7,-1,1,-2
11,Milbertshofen-Am Hart,77281,134172.000000,58,0.517592,0.158905,2.743236,0.059747,3.532563,0.097758,0.178740,0.906610,0.411955,0.499102,0.499102,0.419011,0.600979,0.477315,5,5,3,5,0,-2,0
12,Schwabing-Freimann,77092,256748.000000,30,0.583718,0.200693,2.698075,0.036832,5.071862,0.057166,0.227074,0.721758,0.375853,0.441562,0.441562,0.387940,0.511611,0.425134,6,7,5,6,1,-1,0
13,Bogenhausen,95475,237130.000000,40,0.555119,0.250183,1.717727,0.033914,5.278869,0.052177,0.232081,0.487880,0.372734,0.364231,0.364231,0.331194,0.395143,0.366357,12,12,12,12,0,0,0
14,Berg am Laim,47367,63153.000000,75,0.886693,0.098035,1.435599,0.009580,3.314544,0.074418,0.335730,0.241038,0.309519,0.295429,0.295429,0.305504,0.281831,0.298951,15,15,16,15,0,1,0
15,Trudering-Riem,76280,224539.000000,34,1.048768,0.100684,1.743576,0.067949,5.047195,0.062109,0.415931,0.753536,0.392299,0.520589,0.520589,0.494424,0.578826,0.488516,4,3,4,4,-1,0,0
16,Ramersdorf-Perlach,120776,198971.000000,61,0.471948,0.085003,2.127906,0.039957,3.427833,0.094428,0.128098,0.622579,0.391887,0.380855,0.380855,0.317666,0.441286,0.383613,11,13,11,10,2,0,-1
17,Obergiesing-Fasangarten,54352,57209.000000,95,0.404769,0.047766,1.527083,0.015024,3.366941,0.083461,0.080996,0.302379,0.346834,0.243403,0.243403,0.202801,0.258147,0.269260,20,21,18,19,1,-2,-1
18,Untergiesing-Harlaching,54067,80572.000000,67,0.739823,0.230510,1.720088,0.050757,2.644867,0.092448,0.314777,0.617093,0.326596,0.419489,0.419489,0.393311,0.468890,0.396266,8,6,8,9,-2,0,1
19,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,54067,80572.000000,58,1.220708,0.362656,2.700353,0.036172,7.509202,0.157754,0.600404,0.717211,0.928220,0.748611,0.748611,0.711560,0.740761,0.793514,1,2,1,1,1,0,0
20,Hadern,103717,177635.000000,56,0.269965,0.020004,0.568856,0.010798,1.725850,0.028730,0.004487,0.063279,0.022966,0.030244,0.030244,0.023805,0.038503,0.028425,25,25,25,25,0,0,0
