bez_nr,name,active_city_index,quality_index,active_city_index_plus,parks_quality_access,sports_quality_type_public,bike_quality_safety
1,Altstadt-Lehel,0.650981,0.308131,0.548126,0.500000,0.381605,0.042788
2,Ludwigsvorstadt-Isarvorstadt,0.259377,0.261939,0.260146,0.396529,0.359467,0.029821
3,Maxvorstadt,0.219909,0.289168,0.240687,0.457703,0.397597,0.012205
4,Schwabing-West,0.238221,0.260268,0.244835,0.398928,0.375090,0.006785
5,Au-Haidhausen,0.322840,0.290434,0.313118,0.326569,0.523666,0.021067
6,Sendling,0.560835,0.250273,0.467666,0.408407,0.309457,0.032955
7,Sendling-Westpark,0.510870,0.226876,0.425672,0.350275,0.325962,0.004390
8,Schwanthalerhöhe,0.257935,0.201719,0.241070,0.313755,0.286957,0.004447
9,Neuhausen-Nymphenburg,0.423575,0.344463,0.399842,0.372041,0.649142,0.012207
10,Moosach,0.454242,0.252698,0.393779,0.319017,0.431874,0.007203
11,Milbertshofen-Am Hart,0.591846,0.340757,0.516519,0.367076,0.640665,0.014529
12,Schwabing-Freimann,0.529419,0.391832,0.488143,0.459890,0.709195,0.006412
13,Bogenhausen,0.367525,0.366693,0.367275,0.445348,0.644587,0.010143
14,Berg am Laim,0.352734,0.264366,0.326224,0.327505,0.460559,0.005035
15,Trudering-Riem,0.572067,0.282188,0.485103,0.333646,0.494678,0.018240
16,Ramersdorf-Perlach,0.445368,0.355027,0.418266,0.335532,0.721498,0.008051
17,Obergiesing-Fasangarten,0.267564,0.281194,0.271653,0.312503,0.522932,0.008146
18,Untergiesing-Harlaching,0.481696,0.273288,0.419173,0.370405,0.431410,0.018048
19,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,0.308068,0.313058,0.309565,0.362598,0.560634,0.015942
20,Hadern,0.220725,0.200097,0.214537,0.312863,0.269763,0.017664
21,Pasing-Obermenzing,0.388654,0.312939,0.365940,0.364372,0.561517,0.012928
22,Aubing-Lochhausen-Langwied,0.288702,0.276629,0.285080,0.354532,0.473636,0.001721
23,Allach-Untermenzing,0.279626,0.216415,0.260663,0.336601,0.308696,0.003948
24,Feldmoching-Hasenbergl,0.219346,0.305195,0.245101,0.331924,0.581629,0.002032
25,Laim,0.188044,0.167394,0.181849,0.300000,0.200000,0.002181
