name,einwohner
Altstadt-Lehel,20876
Schwanthalerhöhe,28684
Allach-Untermenzing,36230
Sendling,41002
Berg am Laim,47367
Ludwigsvorstadt-Isarvorstadt,50081
Hadern,51637
Maxvorstadt,52434
Untergiesing-Harlaching,54067
Obergiesing-Fasangarten,54352
Moosach,56015
Laim,57116
Aubing-Lochhausen-Langwied,61011
Sendling-Westpark,62240
Feldmoching-Hasenbergl,63756
Au-Haidhausen,63972
Schwabing-West,68610
Trudering-Riem,76280
Schwabing-Freimann,77092
Milbertshofen-Am Hart,77281
Pasing-Obermenzing,81804
Bogenhausen,95475
Neuhausen-Nymphenburg,101901
Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,103717
Ramersdorf-Perlach,120776
