name,einwohnerdichte
Aubing-Lochhausen-Langwied,18.0
Feldmoching-Hasenbergl,22.0
Allach-Untermenzing,23.0
Schwabing-Freimann,30.0
Trudering-Riem,34.0
Bogenhausen,40.0
Pasing-Obermenzing,50.0
Moosach,50.0
Hadern,56.0
Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,58.0
Milbertshofen-Am Hart,58.0
Ramersdorf-Perlach,61.0
Altstadt-Lehel,66.0
Untergiesing-Harlaching,67.0
Berg am Laim,75.0
Neuhausen-Nymphenburg,79.0
Sendling-Westpark,80.0
Obergiesing-Fasangarten,95.0
Sendling,104.0
Laim,108.0
Ludwigsvorstadt-Isarvorstadt,114.0
Maxvorstadt,122.0
Schwanthalerhöhe,139.0
Au-Haidhausen,152.0
Schwabing-West,157.0
