bez_nr,name,stadtbezirk,einwohner,flaeche_ha,einwohnerdichte
1,Altstadt-Lehel,Altstadt - Lehel,20876,314.59,66.0
2,Ludwigsvorstadt-Isarvorstadt,Ludwigsvorstadt - Isarvorstadt,50081,440.17,114.0
3,Maxvorstadt,Maxvorstadt,52434,429.82,122.0
4,Schwabing-West,Schwabing West,68610,436.33,157.0
5,Au-Haidhausen,Au - Haidhausen,63972,422.0,152.0
6,Sendling,Sendling,41002,393.89,104.0
7,Sendling-Westpark,Sendling - Westpark,62240,781.49,80.0
8,Schwanthalerhöhe,Schwanthalerhöhe,28684,207.03,139.0
9,Neuhausen-Nymphenburg,Neuhausen - Nymphenburg,101901,1291.49,79.0
10,Moosach,Moosach,56015,1109.37,50.0
11,Milbertshofen-Am Hart,Milbertshofen - Am Hart,77281,1341.72,58.0
12,Schwabing-Freimann,Schwabing - Freimann,77092,2567.48,30.0
13,Bogenhausen,Bogenhausen,95475,2371.3,40.0
14,Berg am Laim,Berg am Laim,47367,631.53,75.0
15,Trudering-Riem,Trudering - Riem,76280,2245.39,34.0
16,Ramersdorf-Perlach,Ramersdorf - Perlach,120776,1989.71,61.0
17,Obergiesing-Fasangarten,Obergiesing - Fasangarten,54352,572.09,95.0
18,Untergiesing-Harlaching,Untergiesing - Harlaching,54067,805.72,67.0
19,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,103717,1776.35,58.0
20,Hadern,Hadern,51637,922.38,56.0
21,Pasing-Obermenzing,Pasing - Obermenzing,81804,1649.75,50.0
22,Aubing-Lochhausen-Langwied,Aubing - Lochhausen - Langwied,61011,3405.73,18.0
23,Allach-Untermenzing,Allach - Untermenzing,36230,1545.12,23.0
24,Feldmoching-Hasenbergl,Feldmoching - Hasenbergl,63756,2893.85,22.0
25,Laim,Laim,57116,528.6,108.0
