bez_nr,name,parks_count,parks_area_ha,parks_pro_1000_einw,parks_area_anteil_prozent
1,Altstadt-Lehel,27,81.2284,1.2934,25.8204
2,Ludwigsvorstadt-Isarvorstadt,21,21.1862,0.4193,4.8132
3,Maxvorstadt,34,30.9750,0.6484,7.2065
4,Schwabing-West,23,49.0394,0.3352,11.2391
5,Au-Haidhausen,36,44.4144,0.5627,10.5247
6,Sendling,19,94.7531,0.4634,24.0557
7,Sendling-Westpark,35,134.7501,0.5623,17.2427
8,Schwanthalerhöhe,10,11.7624,0.3486,5.6815
9,Neuhausen-Nymphenburg,75,338.8135,0.7360,26.2343
10,Moosach,45,74.8055,0.8034,6.7431
11,Milbertshofen-Am Hart,40,169.5587,0.5176,12.6374
12,Schwabing-Freimann,45,436.9034,0.5837,17.0168
13,Bogenhausen,53,172.8976,0.5551,7.2913
14,Berg am Laim,42,61.9092,0.8867,9.8031
15,Trudering-Riem,80,212.0237,1.0488,9.4426
16,Ramersdorf-Perlach,57,164.2909,0.4719,8.2570
17,Obergiesing-Fasangarten,22,21.3916,0.4048,3.7392
18,Untergiesing-Harlaching,39,92.1242,0.7213,11.4338
19,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,65,111.0470,0.6267,6.2514
20,Hadern,28,34.4832,0.5422,3.7385
21,Pasing-Obermenzing,74,114.4722,0.9046,6.9388
22,Aubing-Lochhausen-Langwied,34,120.6616,0.5573,3.5429
23,Allach-Untermenzing,27,50.4628,0.7452,3.2659
24,Feldmoching-Hasenbergl,27,71.5552,0.4235,2.4727
25,Laim,41,12.8300,0.7178,2.4272
