bez_nr,name,stadtbezirk,einwohner,flaeche_ha,einwohnerdichte,sports_count,sports_area_ha,sports_pro_1000_einw,sports_area_ha_pro_1000_einw,sports_area_anteil_prozent
1,Altstadt-Lehel,Altstadt - Lehel,20876,314.5900,66.0000,19,3.8439,0.9101,0.1841,1.2219
2,Ludwigsvorstadt-Isarvorstadt,Ludwigsvorstadt - Isarvorstadt,50081,440.1700,114.0000,37,1.2037,0.7388,0.0240,0.2735
3,Maxvorstadt,Maxvorstadt,52434,429.8200,122.0000,45,1.0819,0.8582,0.0206,0.2517
4,Schwabing-West,Schwabing West,68610,436.3300,157.0000,56,6.8171,0.8162,0.0994,1.5624
5,Au-Haidhausen,Au - Haidhausen,63972,422.0000,152.0000,66,10.8298,1.0317,0.1693,2.5663
6,Sendling,Sendling,41002,393.8900,104.0000,59,24.1579,1.4390,0.5892,6.1332
7,Sendling-Westpark,Sendling - Westpark,62240,781.4900,80.0000,101,43.1438,1.6228,0.6932,5.5207
8,Schwanthalerhöhe,Schwanthalerhöhe,28684,207.0300,139.0000,28,1.4722,0.9762,0.0513,0.7111
9,Neuhausen-Nymphenburg,Neuhausen - Nymphenburg,101901,1291.4900,79.0000,139,31.5086,1.3641,0.3092,2.4397
10,Moosach,Moosach,56015,1109.3700,50.0000,128,27.6255,2.2851,0.4932,2.4902
11,Milbertshofen-Am Hart,Milbertshofen - Am Hart,77281,1341.7200,58.0000,212,80.1635,2.7432,1.0373,5.9747
12,Schwabing-Freimann,Schwabing - Freimann,77092,2567.4800,30.0000,208,94.5649,2.6981,1.2267,3.6832
13,Bogenhausen,Bogenhausen,95475,2371.3000,40.0000,164,80.4213,1.7177,0.8423,3.3914
14,Berg am Laim,Berg am Laim,47367,631.5300,75.0000,68,6.0502,1.4356,0.1277,0.9580
15,Trudering-Riem,Trudering - Riem,76280,2245.3900,34.0000,133,152.5727,1.7436,2.0002,6.7949
16,Ramersdorf-Perlach,Ramersdorf - Perlach,120776,1989.7100,61.0000,257,79.5021,2.1279,0.6583,3.9957
17,Obergiesing-Fasangarten,Obergiesing - Fasangarten,54352,572.0900,95.0000,83,8.5948,1.5271,0.1581,1.5024
18,Untergiesing-Harlaching,Untergiesing - Harlaching,54067,805.7200,67.0000,93,40.8961,1.7201,0.7564,5.0757
19,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,103717,1776.3500,58.0000,146,29.1448,1.4077,0.2810,1.6407
20,Hadern,Hadern,51637,922.3800,56.0000,59,19.1812,1.1426,0.3715,2.0795
21,Pasing-Obermenzing,Pasing - Obermenzing,81804,1649.7500,50.0000,132,40.6523,1.6136,0.4969,2.4641
22,Aubing-Lochhausen-Langwied,Aubing - Lochhausen - Langwied,61011,3405.7300,18.0000,149,39.6274,2.4422,0.6495,1.1636
23,Allach-Untermenzing,Allach - Untermenzing,36230,1545.1200,23.0000,49,14.8629,1.3525,0.4102,0.9619
24,Feldmoching-Hasenbergl,Feldmoching - Hasenbergl,63756,2893.8500,22.0000,110,91.9678,1.7253,1.4425,3.1780
25,Laim,Laim,57116,528.6000,108.0000,34,6.9106,0.5953,0.1210,1.3073
