bez_nr,name,stops_count,stops_pro_1000_einw,radweg_km,radweg_km_pro_km2
1,Altstadt-Lehel,177,8.4786,25.0118,7.9506
2,Ludwigsvorstadt-Isarvorstadt,332,6.6293,33.8681,7.6943
3,Maxvorstadt,191,3.6427,27.9965,6.5135
4,Schwabing-West,176,2.5652,37.5625,8.6087
5,Au-Haidhausen,251,3.9236,30.4675,7.2198
6,Sendling,117,2.8535,41.1499,10.4471
7,Sendling-Westpark,142,2.2815,80.6026,10.3140
8,Schwanthalerhöhe,92,3.2074,22.6475,10.9392
9,Neuhausen-Nymphenburg,272,2.6693,75.6592,5.8583
10,Moosach,295,5.2664,71.8442,6.4761
11,Milbertshofen-Am Hart,273,3.5326,131.1638,9.7758
12,Schwabing-Freimann,391,5.0719,146.7738,5.7166
13,Bogenhausen,502,5.2579,123.7281,5.2177
14,Berg am Laim,157,3.3145,46.9973,7.4418
15,Trudering-Riem,385,5.0472,139.4582,6.2109
16,Ramersdorf-Perlach,414,3.4278,187.8836,9.4428
17,Obergiesing-Fasangarten,183,3.3669,47.7474,8.3461
18,Untergiesing-Harlaching,143,2.6449,74.4876,9.2448
19,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,406,3.9145,127.1054,7.1554
20,Hadern,179,3.4665,51.0353,5.5330
21,Pasing-Obermenzing,391,4.7797,91.9420,5.5731
22,Aubing-Lochhausen-Langwied,311,5.0974,98.6391,2.8963
23,Allach-Untermenzing,216,5.9619,64.5906,4.1803
24,Feldmoching-Hasenbergl,239,3.7487,86.5978,2.9925
25,Laim,169,2.9589,34.7941,6.5823
