bez_nr,name,einwohner,stops_count,stops_pro_1000_einw,radweg_length_m,radweg_km,flaeche_ha,radweg_km_pro_km2
1,Altstadt-Lehel,20876,177,8.4786,25011.8058,25.0118,314.5900,7.9506
2,Ludwigsvorstadt-Isarvorstadt,50081,332,6.6293,33868.0566,33.8681,440.1700,7.6943
3,Maxvorstadt,52434,191,3.6427,27996.4723,27.9965,429.8200,6.5135
4,Schwabing-West,68610,176,2.5652,37562.5499,37.5625,436.3300,8.6087
5,Au-Haidhausen,63972,251,3.9236,30467.4932,30.4675,422.0000,7.2198
6,Sendling,41002,117,2.8535,41149.9060,41.1499,393.8900,10.4471
7,Sendling-Westpark,62240,142,2.2815,80602.6405,80.6026,781.4900,10.3140
8,Schwanthalerhöhe,28684,92,3.2074,22647.5103,22.6475,207.0300,10.9392
9,Neuhausen-Nymphenburg,101901,272,2.6693,75659.1510,75.6592,1291.4900,5.8583
10,Moosach,56015,295,5.2664,71844.2135,71.8442,1109.3700,6.4761
11,Milbertshofen-Am Hart,77281,273,3.5326,131163.7550,131.1638,1341.7200,9.7758
12,Schwabing-Freimann,77092,391,5.0719,146773.8263,146.7738,2567.4800,5.7166
13,Bogenhausen,95475,502,5.2579,123728.1195,123.7281,2371.3000,5.2177
14,Berg am Laim,47367,157,3.3145,46997.3290,46.9973,631.5300,7.4418
15,Trudering-Riem,76280,385,5.0472,139458.2113,139.4582,2245.3900,6.2109
16,Ramersdorf-Perlach,120776,414,3.4278,187883.6251,187.8836,1989.7100,9.4428
17,Obergiesing-Fasangarten,54352,183,3.3669,47747.4404,47.7474,572.0900,8.3461
18,Untergiesing-Harlaching,54067,143,2.6449,74487.5613,74.4876,805.7200,9.2448
19,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,103717,406,3.9145,127105.3508,127.1054,1776.3500,7.1554
20,Hadern,51637,179,3.4665,51035.3176,51.0353,922.3800,5.5330
21,Pasing-Obermenzing,81804,391,4.7797,91942.0200,91.9420,1649.7500,5.5731
22,Aubing-Lochhausen-Langwied,61011,311,5.0974,98639.0895,98.6391,3405.7300,2.8963
23,Allach-Untermenzing,36230,216,5.9619,64590.5721,64.5906,1545.1200,4.1803
24,Feldmoching-Hasenbergl,63756,239,3.7487,86597.7611,86.5978,2893.8500,2.9925
25,Laim,57116,169,2.9589,34794.0921,34.7941,528.6000,6.5823
