name,active_city_index,aci_zone
Altstadt-Lehel,0.6510,Hotspot (oberes Quartil)
Milbertshofen-Am Hart,0.5918,Hotspot (oberes Quartil)
Trudering-Riem,0.5721,Hotspot (oberes Quartil)
Sendling,0.5608,Hotspot (oberes Quartil)
Schwabing-Freimann,0.5294,Hotspot (oberes Quartil)
Sendling-Westpark,0.5109,Hotspot (oberes Quartil)
Untergiesing-Harlaching,0.4817,Hotspot (oberes Quartil)
Moosach,0.4542,Mittelbereich
Ramersdorf-Perlach,0.4454,Mittelbereich
Neuhausen-Nymphenburg,0.4236,Mittelbereich
Pasing-Obermenzing,0.3887,Mittelbereich
Bogenhausen,0.3675,Mittelbereich
Berg am Laim,0.3527,Mittelbereich
Au-Haidhausen,0.3228,Mittelbereich
Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,0.3081,Mittelbereich
Aubing-Lochhausen-Langwied,0.2887,Mittelbereich
Allach-Untermenzing,0.2796,Mittelbereich
Obergiesing-Fasangarten,0.2676,Mittelbereich
Ludwigsvorstadt-Isarvorstadt,0.2594,Coldspot (unteres Quartil)
Schwanthalerhöhe,0.2579,Coldspot (unteres Quartil)
Schwabing-West,0.2382,Coldspot (unteres Quartil)
Hadern,0.2207,Coldspot (unteres Quartil)
Maxvorstadt,0.2199,Coldspot (unteres Quartil)
Feldmoching-Hasenbergl,0.2193,Coldspot (unteres Quartil)
Laim,0.1880,Coldspot (unteres Quartil)
