bez_nr,name,einwohner,flaeche_ha,einwohnerdichte,parks_pro_1000_einw,parks_area_anteil_prozent,sports_pro_1000_einw,sports_area_anteil_prozent,stops_pro_1000_einw,radweg_km_pro_km2,index_gruen,index_sport,index_mobil,active_city_index,aci_equal,aci_green_focus,aci_sport_focus,aci_mob_focus
1,Altstadt-Lehel,20876,314.5900,66.0000,1.2934,25.8204,0.9101,1.2219,8.4786,7.9506,0.9913,0.1474,0.8142,0.6510,0.6510,0.7361,0.5251,0.6918
2,Ludwigsvorstadt-Isarvorstadt,50081,440.1700,114.0000,0.4193,4.8132,0.7388,0.2735,6.6293,7.6943,0.0940,0.0351,0.6491,0.2594,0.2594,0.2180,0.2033,0.3568
3,Maxvorstadt,52434,429.8200,122.0000,0.6484,7.2065,0.8582,0.2517,3.6427,6.5135,0.2638,0.0612,0.3347,0.2199,0.2199,0.2309,0.1802,0.2486
4,Schwabing-West,68610,436.3300,157.0000,0.3352,11.2391,0.8162,1.5624,2.5652,8.6087,0.1851,0.1516,0.3780,0.2382,0.2382,0.2249,0.2166,0.2732
5,Au-Haidhausen,63972,422.0000,152.0000,0.5627,10.5247,1.0317,2.5663,3.9236,7.2198,0.2888,0.2785,0.4013,0.3228,0.3228,0.3143,0.3117,0.3424
6,Sendling,41002,393.8900,104.0000,0.4634,24.0557,1.4390,6.1332,2.8535,10.4471,0.5211,0.6458,0.5156,0.5608,0.5608,0.5509,0.5821,0.5495
7,Sendling-Westpark,62240,781.4900,80.0000,0.5623,17.2427,1.6228,5.5207,2.2815,10.3140,0.4297,0.6418,0.4611,0.5109,0.5109,0.4906,0.5436,0.4984
8,Schwanthalerhöhe,28684,207.0300,139.0000,0.3486,5.6815,0.9762,0.7111,3.2074,10.9392,0.0753,0.1238,0.5747,0.2579,0.2579,0.2123,0.2244,0.3371
9,Neuhausen-Nymphenburg,101901,1291.4900,79.0000,0.7360,26.2343,1.3641,2.4397,2.6693,5.8583,0.7091,0.3462,0.2154,0.4236,0.4236,0.4950,0.4042,0.3715
10,Moosach,56015,1109.3700,50.0000,0.8034,6.7431,2.2851,2.4902,5.2664,6.4761,0.3349,0.5644,0.4634,0.4542,0.4542,0.4244,0.4818,0.4565
11,Milbertshofen-Am Hart,77281,1341.7200,58.0000,0.5176,12.6374,2.7432,5.9747,3.5326,9.7758,0.3096,0.9373,0.5286,0.5918,0.5918,0.5213,0.6782,0.5760
12,Schwabing-Freimann,77092,2567.4800,30.0000,0.5837,17.0168,2.6981,3.6832,5.0719,5.7166,0.4361,0.7517,0.4005,0.5294,0.5294,0.5061,0.5850,0.4972
13,Bogenhausen,95475,2371.3000,40.0000,0.5551,7.2913,1.7177,3.3914,5.2579,5.2177,0.2169,0.5012,0.3845,0.3675,0.3675,0.3299,0.4009,0.3718
14,Berg am Laim,47367,631.5300,75.0000,0.8867,9.8031,1.4356,0.9580,3.3145,7.4418,0.4427,0.2496,0.3659,0.3527,0.3527,0.3752,0.3269,0.3560
15,Trudering-Riem,76280,2245.3900,34.0000,1.0488,9.4426,1.7436,6.7949,5.0472,6.2109,0.5197,0.7673,0.4292,0.5721,0.5721,0.5590,0.6209,0.5364
16,Ramersdorf-Perlach,120776,1989.7100,61.0000,0.4719,8.2570,2.1279,3.9957,3.4278,9.4428,0.1938,0.6429,0.4995,0.4454,0.4454,0.3825,0.4947,0.4589
17,Obergiesing-Fasangarten,54352,572.0900,95.0000,0.4048,3.7392,1.5271,1.5024,3.3669,8.3461,0.0638,0.3125,0.4264,0.2676,0.2676,0.2166,0.2788,0.3073
18,Untergiesing-Harlaching,54067,805.7200,67.0000,0.7213,11.4338,1.7201,5.0757,2.6449,9.2448,0.3906,0.6305,0.4240,0.4817,0.4817,0.4589,0.5189,0.4673
19,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,103717,1776.3500,58.0000,0.6267,6.2514,1.4077,1.6407,3.9145,7.1554,0.2324,0.2952,0.3965,0.3081,0.3081,0.2892,0.3049,0.3302
20,Hadern,51637,922.3800,56.0000,0.5422,3.7385,1.1426,2.0795,3.4665,5.5330,0.1356,0.2671,0.2595,0.2207,0.2207,0.1994,0.2323,0.2304
21,Pasing-Obermenzing,81804,1649.7500,50.0000,0.9046,6.9388,1.6136,2.4641,4.7797,5.5731,0.3919,0.4061,0.3680,0.3887,0.3887,0.3895,0.3930,0.3835
22,Aubing-Lochhausen-Langwied,61011,3405.7300,18.0000,0.5573,3.5429,2.4422,1.1636,5.0974,2.8963,0.1393,0.4996,0.2272,0.2887,0.2887,0.2514,0.3414,0.2733
23,Allach-Untermenzing,36230,1545.1200,23.0000,0.7452,3.2659,1.3525,0.9619,5.9619,4.1803,0.2316,0.2305,0.3768,0.2796,0.2796,0.2676,0.2674,0.3039
24,Feldmoching-Hasenbergl,63756,2893.8500,22.0000,0.4235,2.4727,1.7253,3.1780,3.7487,2.9925,0.0470,0.4867,0.1244,0.2193,0.2193,0.1763,0.2862,0.1956
25,Laim,57116,528.6000,108.0000,0.7178,2.4272,0.5953,1.3073,2.9589,6.5823,0.1997,0.0807,0.2838,0.1880,0.1880,0.1909,0.1612,0.2120
